Company,Model,Engine Type,Engine Capacity,HorsePower,Top Speed (km/h),0-100 km/h (s),Price ($),Fuel Type,Seats,Torque (Nm),Transmission,Drive,Year,Fuel Efficiency (L/100km)
Hyundai,E-Class,Petrol,3.0L,264,152,10.8,182071,Petrol,5,1457,Automatic,RWD,2023,7.7
Land Rover,Model S,Electric,1.2L,559,259,6.5,217959,Diesel,5,1014,Single Speed,AWD,2024,7.9
Chevrolet,Camry,Diesel,1.2L,864,196,9.1,258722,Diesel,7,1538,Single Speed,RWD,2023,15.6
Geely,Mustang,Hybrid,2.0L,950,179,11.1,59440,Diesel,5,1068,Manual,AWD,2021,3.5
Hyundai,Corolla,Petrol,1.2L,251,267,10.6,46655,Hybrid,2,583,Dual Clutch,FWD,2021,9.5
Audi,CX-5,Diesel,3.0L,1031,312,6.4,58039,Hybrid,4,1560,Single Speed,RWD,2022,9.9
Toyota,Chiron,Hybrid,100 kWh,725,174,3.6,87219,Electric,4,345,Dual Clutch,RWD,2024,11.2
Volvo,Chiron,Petrol,2.0L,763,398,3.2,201061,Diesel,4,1131,Manual,FWD,2016,14.4
Chevrolet,Defender,Electric,2.0L,99,144,8.0,288388,Hybrid,7,251,Dual Clutch,RWD,2020,9.3
Peugeot,Focus,Diesel,1.5L,1189,357,8.6,109594,Diesel,7,1515,Manual,FWD,2019,6.6
BMW,Civic,Hybrid,1.5L,847,150,10.6,185623,Hybrid,5,310,Automatic,AWD,2019,18.0
Suzuki,Q7,Petrol,1.2L,513,256,5.3,209302,Hybrid,4,466,Manual,FWD,2017,19.7
Hyundai,Taycan,Petrol,2.0L,367,323,4.1,174950,Petrol,4,1043,Automatic,FWD,2017,3.3
Porsche,Elantra,Electric,1.5L,877,255,6.1,182229,Diesel,4,185,Manual,RWD,2020,12.3
Audi,RX 500h,Hybrid,3.0L,914,301,5.9,20914,Diesel,4,1178,Single Speed,AWD,2024,8.8
Ferrari,E-Class,Electric,1.5L,1085,206,3.8,229772,Hybrid,4,545,Single Speed,FWD,2024,7.7
Suzuki,Model X,Electric,82 kWh,623,339,8.9,242561,Diesel,2,719,Dual Clutch,AWD,2021,8.7
Ferrari,Civic,Hybrid,82 kWh,372,170,7.3,202435,Hybrid,4,403,Manual,FWD,2015,13.9
Land Rover,Elantra,Hybrid,1.5L,490,214,9.4,110213,Diesel,2,231,Manual,RWD,2017,6.2
Toyota,Camry,Hybrid,2.0L,254,376,5.9,52805,Petrol,4,1544,Manual,FWD,2015,18.5
Honda,X5,Diesel,100 kWh,537,205,5.6,141599,Diesel,7,1003,Dual Clutch,FWD,2024,10.9
Volvo,i8,Hybrid,100 kWh,823,209,7.0,168775,Petrol,7,1508,Single Speed,AWD,2017,8.5
Suzuki,CX-5,Petrol,2.0L,432,159,10.8,205093,Electric,2,1087,Manual,FWD,2019,16.0
Mazda,Focus,Electric,4.0L,405,365,2.9,89176,Diesel,4,1321,Dual Clutch,RWD,2023,3.3
Renault,Tiguan,Diesel,100 kWh,231,338,10.1,109799,Diesel,7,146,Manual,RWD,2017,10.3
Tesla,Tiguan,Hybrid,82 kWh,81,178,6.0,113385,Diesel,7,856,Automatic,FWD,2024,9.0
BMW,Model S,Diesel,3.0L,1166,284,10.6,250654,Petrol,4,1326,Manual,FWD,2024,8.7
BMW,i8,Hybrid,2.0L,657,184,10.1,103919,Diesel,4,1384,Automatic,AWD,2023,8.7
Peugeot,A6,Diesel,1.2L,270,230,5.8,96462,Diesel,7,789,Dual Clutch,AWD,2015,3.5
Volkswagen,A6,Electric,82 kWh,591,377,9.1,194340,Hybrid,4,1147,Dual Clutch,RWD,2020,5.6
Hyundai,Mustang,Electric,3.0L,574,209,4.0,180320,Electric,5,786,Single Speed,AWD,2023,5.4
Mazda,Q7,Petrol,3.0L,857,305,11.0,46159,Petrol,4,885,Manual,FWD,2019,19.8
Tesla,Sportage,Petrol,2.0L,1132,269,6.3,57039,Hybrid,7,439,Dual Clutch,RWD,2024,3.4
BMW,Defender,Hybrid,3.0L,129,353,6.8,247974,Petrol,7,511,Single Speed,AWD,2016,5.8
BMW,E-Class,Electric,2.0L,647,228,9.2,62800,Hybrid,2,1384,Manual,RWD,2019,19.6
Mercedes,Tiguan,Diesel,100 kWh,390,391,10.3,109626,Electric,5,385,Dual Clutch,FWD,2015,13.7
Chevrolet,Ioniq 6,Diesel,1.5L,992,211,4.7,133368,Hybrid,7,1209,Automatic,AWD,2023,10.7
Volkswagen,Corolla,Diesel,82 kWh,638,304,8.8,189735,Petrol,5,949,Dual Clutch,FWD,2024,4.3
Mazda,F-Type,Petrol,4.0L,1171,188,6.2,95903,Diesel,4,529,Automatic,FWD,2024,14.4
Porsche,Model S,Diesel,1.5L,596,191,6.0,133998,Diesel,7,130,Single Speed,RWD,2023,5.3
Mazda,Corolla,Petrol,82 kWh,593,253,9.1,256324,Electric,2,702,Single Speed,RWD,2020,14.4
Lexus,Mustang,Petrol,2.0L,682,378,6.2,248229,Petrol,7,539,Manual,RWD,2023,19.6
Toyota,Leaf,Hybrid,82 kWh,194,272,5.8,76748,Petrol,2,1084,Manual,AWD,2017,12.0
Peugeot,Model S,Diesel,100 kWh,940,305,10.4,56190,Petrol,5,1472,Manual,AWD,2018,6.6
Renault,Civic,Diesel,2.0L,349,382,3.5,55318,Electric,2,511,Single Speed,RWD,2020,13.6
Tesla,A6,Electric,1.5L,986,277,8.9,183090,Diesel,4,627,Automatic,AWD,2018,11.7
Land Rover,A6,Hybrid,1.2L,691,218,4.9,139078,Hybrid,4,409,Manual,AWD,2015,12.1
Honda,Model X,Electric,1.2L,915,309,2.6,54759,Electric,4,1048,Manual,RWD,2021,11.1
Mercedes,Elantra,Hybrid,82 kWh,743,262,4.1,293642,Hybrid,7,1519,Single Speed,FWD,2019,14.5
Chevrolet,Focus,Diesel,1.2L,383,315,8.3,40989,Diesel,4,1461,Automatic,AWD,2022,12.7
Toyota,Ioniq 6,Petrol,2.0L,401,221,9.2,171640,Electric,4,773,Dual Clutch,AWD,2023,19.8
Peugeot,Camry,Petrol,3.0L,105,226,2.7,176171,Diesel,7,536,Manual,FWD,2019,17.0
Nissan,Q7,Petrol,2.0L,1115,364,2.8,50814,Hybrid,5,803,Dual Clutch,FWD,2022,7.5
Kia,i8,Petrol,3.0L,275,155,11.1,205766,Petrol,4,762,Dual Clutch,FWD,2015,15.3
Audi,E-Class,Petrol,1.5L,708,302,3.2,75204,Petrol,4,464,Manual,RWD,2015,6.6
BYD,Passat,Electric,4.0L,917,237,11.0,47844,Hybrid,7,1022,Single Speed,FWD,2021,16.3
Renault,CX-5,Hybrid,3.0L,509,295,4.7,263827,Petrol,5,212,Manual,RWD,2020,5.5
Porsche,Civic,Diesel,1.2L,798,141,9.5,260256,Hybrid,5,275,Automatic,FWD,2019,11.1
Volkswagen,Defender,Electric,2.0L,1189,308,5.4,36518,Electric,5,1272,Automatic,FWD,2019,16.4
Suzuki,Tiguan,Hybrid,1.5L,1010,231,10.7,38052,Electric,7,1301,Manual,RWD,2023,7.8
Audi,X5,Petrol,1.2L,233,320,9.2,271346,Electric,2,1035,Dual Clutch,RWD,2015,17.2
BYD,CX-5,Hybrid,1.5L,217,370,6.3,84803,Petrol,2,481,Automatic,FWD,2022,14.0
Audi,CX-5,Hybrid,4.0L,363,287,3.2,86524,Diesel,4,1346,Automatic,FWD,2016,9.8
Chevrolet,Focus,Petrol,100 kWh,264,328,9.5,239582,Petrol,4,1382,Manual,FWD,2021,10.2
Hyundai,Sportage,Petrol,2.0L,732,267,8.4,82021,Petrol,4,1312,Manual,AWD,2020,18.7
Nissan,Model X,Petrol,82 kWh,549,146,2.5,226321,Diesel,2,405,Single Speed,FWD,2024,6.7
Suzuki,A6,Diesel,2.0L,192,186,2.6,297187,Diesel,7,1501,Manual,RWD,2016,14.8
Tesla,F-Type,Petrol,4.0L,768,192,10.2,17419,Diesel,4,701,Manual,AWD,2017,15.0
Honda,Elantra,Diesel,2.0L,1034,326,5.0,202964,Diesel,7,442,Automatic,RWD,2018,18.7
Tesla,Passat,Petrol,82 kWh,730,177,8.5,136831,Petrol,4,255,Automatic,AWD,2021,15.1
Ferrari,Focus,Diesel,3.0L,1197,365,6.8,259688,Hybrid,7,811,Automatic,AWD,2022,12.9
Audi,Model X,Hybrid,1.5L,779,192,10.7,116799,Electric,7,1178,Dual Clutch,RWD,2016,18.3
Renault,Defender,Electric,82 kWh,465,363,11.2,209941,Hybrid,2,1565,Automatic,AWD,2022,17.1
Honda,F-Type,Hybrid,1.2L,981,293,12.0,191282,Petrol,7,1323,Automatic,RWD,2023,15.2
Kia,Passat,Hybrid,4.0L,1074,187,4.0,123611,Diesel,5,502,Manual,FWD,2021,3.6
Suzuki,A6,Petrol,3.0L,386,286,10.7,152559,Electric,2,713,Single Speed,AWD,2015,9.3
Land Rover,E-Class,Diesel,1.2L,750,203,5.0,77112,Electric,4,896,Automatic,RWD,2020,13.7
Hyundai,A6,Electric,1.2L,564,321,8.1,254040,Hybrid,2,722,Single Speed,AWD,2022,11.9
Mazda,Focus,Petrol,4.0L,625,264,7.3,293504,Petrol,5,702,Automatic,RWD,2019,8.4
Honda,A6,Petrol,3.0L,679,318,2.7,248451,Petrol,5,276,Automatic,FWD,2016,5.5
Land Rover,Leaf,Petrol,100 kWh,178,178,11.4,236490,Petrol,7,548,Single Speed,FWD,2019,12.4
Porsche,Leaf,Hybrid,1.2L,441,399,3.2,280161,Electric,5,842,Manual,AWD,2022,7.9
Land Rover,Ioniq 6,Diesel,1.2L,924,142,9.0,206196,Hybrid,5,400,Automatic,AWD,2016,7.0
Tesla,Focus,Diesel,3.0L,685,203,10.0,262418,Electric,5,806,Single Speed,RWD,2015,9.8
Nissan,Ioniq 6,Electric,2.0L,837,168,10.1,236370,Electric,5,406,Automatic,RWD,2018,16.4
Honda,E-Class,Diesel,1.2L,275,150,3.8,204340,Diesel,4,850,Dual Clutch,AWD,2018,11.3
Honda,E-Class,Diesel,1.5L,916,236,6.8,81320,Hybrid,4,968,Dual Clutch,RWD,2023,6.7
Volvo,Mustang,Petrol,3.0L,112,342,10.4,250067,Diesel,2,1390,Dual Clutch,RWD,2017,5.0
Ferrari,Focus,Petrol,1.2L,934,160,5.4,227373,Petrol,7,313,Dual Clutch,RWD,2018,11.5
Geely,F-Type,Hybrid,4.0L,854,178,6.9,195786,Electric,4,582,Manual,AWD,2017,16.5
Porsche,Taycan,Petrol,82 kWh,545,362,5.1,281890,Hybrid,5,1385,Dual Clutch,FWD,2016,14.1
Peugeot,Tiguan,Petrol,1.5L,152,241,6.9,80350,Petrol,7,1190,Single Speed,FWD,2018,6.9
Honda,Model S,Petrol,82 kWh,259,185,10.9,196417,Hybrid,4,232,Automatic,RWD,2022,10.4
Audi,Sportage,Petrol,82 kWh,869,205,6.8,255678,Electric,2,611,Single Speed,AWD,2015,17.5
Mazda,A6,Hybrid,1.2L,1005,230,7.8,37063,Hybrid,5,310,Dual Clutch,RWD,2022,6.0
Nissan,F-Type,Petrol,1.5L,320,303,6.3,132116,Petrol,7,1087,Manual,FWD,2022,12.0
Peugeot,Model X,Electric,1.5L,360,250,6.9,192043,Diesel,4,1086,Dual Clutch,RWD,2017,9.1
Mazda,i8,Electric,2.0L,395,262,2.6,149670,Electric,7,816,Dual Clutch,FWD,2024,5.1
Nissan,Civic,Electric,82 kWh,906,332,5.2,25564,Diesel,4,352,Manual,AWD,2024,3.8
Kia,Mustang,Electric,1.5L,577,238,6.6,257124,Electric,2,137,Manual,RWD,2020,12.4
Lexus,A6,Petrol,2.0L,800,298,8.5,242506,Petrol,5,1166,Manual,AWD,2018,3.4
Volvo,RX 500h,Electric,3.0L,141,242,6.8,101134,Electric,2,728,Manual,RWD,2015,4.8
Peugeot,A6,Petrol,2.0L,710,182,5.7,120940,Diesel,5,1528,Manual,RWD,2015,8.9
Jaguar,Model X,Hybrid,4.0L,1009,223,6.2,77085,Electric,5,1086,Manual,RWD,2019,3.7
Ferrari,Leaf,Electric,100 kWh,677,330,4.8,32862,Petrol,7,145,Automatic,RWD,2022,9.8
BYD,Chiron,Diesel,1.2L,635,190,11.3,287409,Electric,4,1577,Dual Clutch,RWD,2015,5.2
Hyundai,Tiguan,Electric,3.0L,123,349,7.5,155777,Diesel,2,404,Dual Clutch,AWD,2016,8.9
Tesla,Focus,Electric,100 kWh,597,265,2.6,201351,Petrol,2,332,Manual,AWD,2021,16.4
Mazda,CX-5,Petrol,100 kWh,680,208,2.7,77471,Diesel,2,344,Single Speed,FWD,2022,13.6
Volvo,F-Type,Electric,3.0L,262,397,11.7,106080,Electric,7,859,Manual,RWD,2017,10.6
BYD,RX 500h,Diesel,4.0L,127,327,4.6,123007,Hybrid,7,1418,Automatic,FWD,2022,4.6
Audi,Taycan,Petrol,2.0L,198,369,10.2,61104,Diesel,7,938,Single Speed,AWD,2015,13.5
BYD,Ioniq 6,Petrol,1.2L,775,328,3.1,55934,Electric,5,1506,Automatic,FWD,2023,5.8
Land Rover,Passat,Hybrid,2.0L,921,149,11.3,269606,Hybrid,2,257,Single Speed,AWD,2016,4.3
Ferrari,Model S,Hybrid,1.5L,77,253,10.8,21050,Hybrid,5,1528,Single Speed,RWD,2016,14.3
Kia,Taycan,Electric,2.0L,98,215,7.9,190024,Petrol,2,1124,Manual,FWD,2018,18.5
Porsche,Corolla,Hybrid,3.0L,1016,303,2.6,285628,Hybrid,2,316,Automatic,FWD,2024,10.8
BYD,Ioniq 6,Hybrid,1.2L,200,224,4.9,199750,Diesel,4,1027,Single Speed,FWD,2017,3.7
Chevrolet,E-Class,Hybrid,2.0L,257,188,6.4,46323,Diesel,2,606,Automatic,FWD,2018,18.0
Kia,Passat,Petrol,1.2L,778,316,6.9,101332,Hybrid,7,860,Manual,RWD,2020,4.1
Lexus,Taycan,Petrol,1.2L,281,357,5.3,270540,Electric,7,1003,Manual,AWD,2021,17.7
Hyundai,i8,Petrol,1.5L,345,328,2.8,269547,Diesel,7,680,Manual,AWD,2019,9.7
Tesla,Focus,Hybrid,1.5L,1166,369,8.1,287459,Diesel,4,1153,Manual,RWD,2016,9.2
Land Rover,Mustang,Petrol,3.0L,312,394,7.5,172591,Petrol,4,726,Dual Clutch,AWD,2017,12.2
Volkswagen,F-Type,Hybrid,4.0L,1195,375,5.2,286251,Electric,5,619,Single Speed,FWD,2024,19.3
Volkswagen,i8,Petrol,100 kWh,1056,165,2.9,70781,Hybrid,2,374,Dual Clutch,RWD,2017,18.3
Renault,Q7,Petrol,1.2L,754,211,11.9,281013,Electric,2,591,Manual,AWD,2019,11.0
Jaguar,F-Type,Diesel,4.0L,240,393,7.1,22971,Petrol,7,926,Single Speed,RWD,2019,14.8
Mazda,X5,Electric,100 kWh,722,262,9.7,269927,Petrol,7,1050,Single Speed,RWD,2018,12.9
Nissan,Taycan,Hybrid,100 kWh,257,283,6.8,38446,Electric,7,1025,Automatic,AWD,2022,14.8
Chevrolet,CX-5,Diesel,3.0L,1179,396,2.9,272419,Petrol,7,946,Manual,AWD,2020,17.1
Mazda,i8,Petrol,100 kWh,121,283,5.4,184180,Petrol,7,1159,Dual Clutch,RWD,2020,3.6
Honda,Elantra,Hybrid,100 kWh,180,398,5.5,18823,Petrol,7,1434,Automatic,RWD,2015,8.5
Ford,Taycan,Petrol,1.2L,946,186,10.5,159526,Electric,2,1167,Single Speed,AWD,2020,19.3
Kia,RX 500h,Electric,1.2L,1136,152,8.7,150004,Petrol,4,1278,Dual Clutch,RWD,2017,19.1
Lexus,Model X,Diesel,82 kWh,280,347,5.1,220162,Hybrid,7,1200,Manual,AWD,2020,3.2
Porsche,i8,Electric,4.0L,927,374,11.7,82965,Hybrid,2,1561,Dual Clutch,RWD,2024,6.4
Mercedes,Elantra,Diesel,2.0L,696,288,5.6,287654,Diesel,7,1555,Dual Clutch,RWD,2020,19.9
Chevrolet,Mustang,Petrol,1.5L,1119,294,12.0,156609,Hybrid,5,138,Dual Clutch,RWD,2016,11.4
Nissan,A6,Electric,2.0L,368,305,12.0,120935,Diesel,5,338,Automatic,AWD,2015,12.7
Renault,E-Class,Electric,4.0L,1170,229,4.3,248705,Electric,2,1136,Single Speed,FWD,2017,5.8
Toyota,Defender,Petrol,1.5L,993,325,5.5,268978,Petrol,4,221,Dual Clutch,AWD,2019,18.2
Hyundai,E-Class,Electric,2.0L,206,313,7.1,159854,Hybrid,5,243,Single Speed,RWD,2018,6.9
Hyundai,Model S,Hybrid,82 kWh,1113,356,8.8,93004,Diesel,5,783,Automatic,FWD,2021,6.2
Ford,Model X,Diesel,1.5L,509,236,7.5,37072,Electric,4,554,Manual,FWD,2018,6.9
Peugeot,i8,Diesel,1.2L,280,256,11.7,96015,Diesel,5,467,Manual,RWD,2022,18.6
Mercedes,i8,Diesel,2.0L,821,338,9.4,240075,Petrol,7,858,Dual Clutch,AWD,2021,14.9
Ferrari,Passat,Hybrid,1.5L,504,160,4.5,235010,Hybrid,4,346,Automatic,FWD,2024,16.1
Porsche,CX-5,Diesel,82 kWh,849,339,3.5,87746,Electric,5,1022,Manual,FWD,2023,9.4
BMW,Taycan,Petrol,100 kWh,508,387,9.0,191774,Diesel,4,1168,Automatic,AWD,2015,18.5
Geely,Taycan,Electric,1.5L,735,197,4.0,143259,Electric,7,864,Automatic,AWD,2019,16.4
Volvo,Leaf,Hybrid,1.5L,1135,170,10.0,45916,Diesel,5,474,Dual Clutch,FWD,2018,15.8
Honda,Elantra,Diesel,82 kWh,480,388,5.5,42268,Diesel,2,1414,Dual Clutch,AWD,2020,19.5
Kia,E-Class,Petrol,100 kWh,875,232,5.6,190050,Petrol,5,306,Automatic,FWD,2015,9.2
Porsche,Elantra,Electric,2.0L,679,233,2.6,258966,Petrol,5,618,Automatic,RWD,2020,13.4
Audi,Leaf,Electric,3.0L,496,293,9.2,38259,Diesel,7,341,Dual Clutch,AWD,2015,18.5
Audi,Focus,Hybrid,2.0L,971,219,3.6,94400,Hybrid,2,1237,Automatic,FWD,2015,16.4
Ford,Elantra,Hybrid,100 kWh,1011,223,9.8,126581,Electric,2,918,Dual Clutch,AWD,2022,12.6
Peugeot,Tiguan,Hybrid,4.0L,811,176,7.2,22043,Electric,2,401,Single Speed,AWD,2016,4.3
Mazda,Camry,Petrol,82 kWh,397,371,10.0,196502,Petrol,7,1399,Automatic,FWD,2024,14.1
Geely,Model X,Petrol,2.0L,121,232,8.0,122009,Hybrid,7,1219,Dual Clutch,RWD,2020,12.0
Kia,Model X,Hybrid,1.5L,445,241,3.3,224137,Diesel,7,1417,Automatic,FWD,2020,6.1
Chevrolet,Chiron,Diesel,82 kWh,332,305,9.8,176940,Petrol,7,800,Dual Clutch,AWD,2020,18.0
Peugeot,X5,Electric,1.2L,336,298,3.2,128259,Diesel,7,1483,Automatic,FWD,2022,8.8
Kia,Tiguan,Electric,100 kWh,428,153,7.0,115804,Diesel,2,387,Manual,AWD,2018,9.6
Tesla,RX 500h,Petrol,2.0L,721,364,4.1,84000,Petrol,4,253,Manual,FWD,2017,14.4
Porsche,X5,Electric,82 kWh,115,212,9.6,99179,Hybrid,7,522,Automatic,RWD,2020,11.3
Porsche,A6,Diesel,2.0L,669,388,11.2,275226,Electric,4,949,Manual,RWD,2018,4.5
Renault,Sportage,Electric,82 kWh,789,230,7.8,38880,Petrol,5,149,Automatic,RWD,2016,9.6
Volvo,Model S,Petrol,1.5L,670,355,7.5,216264,Hybrid,5,1330,Automatic,RWD,2020,4.6
Mercedes,Taycan,Petrol,1.2L,450,229,9.8,187438,Diesel,7,663,Single Speed,FWD,2024,6.2
Nissan,Mustang,Diesel,1.2L,187,168,2.5,260352,Petrol,5,953,Single Speed,RWD,2019,3.1
Kia,Sportage,Diesel,4.0L,185,359,11.2,82396,Electric,4,982,Manual,FWD,2023,6.1
BMW,Model X,Electric,82 kWh,329,354,4.4,294250,Electric,5,761,Single Speed,AWD,2020,8.6
Tesla,Sportage,Electric,2.0L,1168,360,11.8,71731,Diesel,5,664,Single Speed,AWD,2017,12.1
Porsche,X5,Petrol,1.2L,374,181,9.5,90010,Petrol,4,312,Automatic,AWD,2019,18.6
Honda,Q7,Diesel,100 kWh,76,274,9.9,264091,Electric,5,1189,Dual Clutch,RWD,2024,12.2
Suzuki,Sportage,Diesel,1.2L,435,181,8.7,86326,Petrol,7,1355,Automatic,RWD,2022,15.0
BMW,RX 500h,Diesel,3.0L,592,303,7.0,263876,Electric,4,910,Single Speed,RWD,2023,9.1
Ford,Q7,Electric,3.0L,498,197,7.9,24004,Diesel,4,949,Automatic,AWD,2022,15.8
BYD,Sportage,Diesel,1.2L,860,164,2.9,130018,Diesel,2,1443,Manual,AWD,2017,13.5
Ford,Passat,Petrol,82 kWh,816,212,8.4,40792,Petrol,2,1260,Dual Clutch,AWD,2023,10.8
Mazda,Camry,Petrol,4.0L,436,268,8.4,69645,Hybrid,4,980,Single Speed,AWD,2017,6.3
Porsche,Model S,Electric,1.2L,382,226,11.0,22232,Hybrid,4,1188,Single Speed,FWD,2022,8.2
Porsche,Mustang,Hybrid,1.5L,607,292,7.3,69766,Diesel,2,1255,Automatic,FWD,2024,13.6
Jaguar,Tiguan,Electric,2.0L,990,321,3.2,135601,Electric,7,433,Automatic,RWD,2023,10.2
BYD,Camry,Hybrid,4.0L,1147,264,5.4,96588,Hybrid,5,131,Automatic,RWD,2021,18.1
Ferrari,Mustang,Diesel,1.5L,934,206,8.7,194614,Diesel,5,967,Automatic,AWD,2018,7.0
Geely,Chiron,Electric,4.0L,851,145,4.8,20913,Electric,5,997,Single Speed,FWD,2024,4.2
BYD,Mustang,Petrol,1.5L,403,264,5.2,127406,Electric,4,1366,Automatic,FWD,2023,13.0
Volkswagen,Model S,Diesel,2.0L,867,192,10.3,128693,Hybrid,7,1315,Single Speed,RWD,2017,18.1
Hyundai,Taycan,Petrol,2.0L,417,205,8.1,108449,Diesel,2,1265,Automatic,FWD,2017,9.2
Audi,Q7,Diesel,3.0L,342,221,7.3,25567,Electric,7,700,Dual Clutch,RWD,2016,14.0
Tesla,Sportage,Electric,82 kWh,1032,226,5.5,53379,Electric,7,1087,Dual Clutch,AWD,2024,6.9
Peugeot,i8,Hybrid,1.5L,789,141,9.4,221040,Petrol,5,1314,Automatic,AWD,2017,12.5
Volvo,Chiron,Diesel,3.0L,569,343,5.2,277463,Petrol,2,1272,Automatic,RWD,2015,16.4
Renault,Q7,Hybrid,1.5L,1186,289,9.5,105005,Hybrid,7,698,Manual,AWD,2018,17.7
Jaguar,Passat,Diesel,3.0L,754,242,3.2,238098,Petrol,2,1539,Dual Clutch,AWD,2022,4.8
Nissan,Model X,Petrol,2.0L,148,163,10.7,19791,Diesel,4,619,Single Speed,FWD,2019,9.1
Honda,Ioniq 6,Petrol,4.0L,691,351,7.2,146401,Hybrid,5,968,Dual Clutch,FWD,2016,13.9
Lexus,Defender,Diesel,100 kWh,1016,204,6.7,220459,Hybrid,2,115,Single Speed,FWD,2017,3.6
Jaguar,Corolla,Hybrid,3.0L,427,348,8.3,76032,Petrol,4,1229,Automatic,FWD,2015,14.7
BMW,RX 500h,Electric,1.5L,687,390,8.4,190150,Electric,4,382,Dual Clutch,FWD,2016,12.0
BYD,E-Class,Electric,1.5L,576,256,3.8,36300,Diesel,4,1227,Dual Clutch,RWD,2015,7.9
Geely,Model X,Petrol,100 kWh,645,255,9.7,70609,Diesel,7,460,Manual,RWD,2016,16.8
Geely,Focus,Electric,82 kWh,313,376,5.1,206634,Diesel,7,1158,Manual,FWD,2017,7.9
Tesla,Corolla,Petrol,2.0L,575,244,11.1,105045,Hybrid,5,212,Dual Clutch,AWD,2015,19.9
Ferrari,E-Class,Electric,1.5L,491,398,10.3,282847,Diesel,5,407,Dual Clutch,AWD,2023,16.9
Land Rover,RX 500h,Diesel,1.2L,1180,185,5.8,238717,Electric,4,1058,Dual Clutch,RWD,2024,15.0
Volkswagen,Chiron,Petrol,4.0L,286,355,10.2,234162,Electric,5,1176,Single Speed,RWD,2019,4.0
Mazda,Model X,Petrol,3.0L,1078,163,5.9,42676,Petrol,7,1204,Automatic,RWD,2022,18.4
Chevrolet,Leaf,Diesel,82 kWh,399,174,3.5,235412,Diesel,5,933,Manual,AWD,2019,16.4
Ferrari,Leaf,Petrol,100 kWh,719,163,11.6,191512,Hybrid,2,1492,Automatic,RWD,2022,6.9
Mercedes,Civic,Electric,4.0L,460,167,8.7,182995,Petrol,7,341,Manual,AWD,2021,9.7
Ford,Focus,Electric,2.0L,450,155,6.8,139786,Electric,4,130,Manual,RWD,2018,7.6
Mazda,Mustang,Petrol,82 kWh,811,198,6.3,83147,Diesel,4,803,Manual,AWD,2021,19.7
Suzuki,Passat,Electric,3.0L,889,382,5.6,37075,Electric,5,968,Dual Clutch,RWD,2020,17.5
BYD,Civic,Hybrid,3.0L,742,346,11.8,220788,Petrol,7,1484,Manual,RWD,2017,18.8
Mercedes,Elantra,Petrol,100 kWh,582,388,3.8,24304,Electric,4,332,Automatic,AWD,2023,16.4
Audi,Tiguan,Diesel,1.2L,1018,332,5.5,144851,Diesel,4,1157,Manual,RWD,2024,10.8
Mercedes,Tiguan,Hybrid,100 kWh,999,357,7.1,74622,Diesel,7,1366,Automatic,FWD,2023,6.5
Renault,CX-5,Petrol,2.0L,982,254,7.0,123654,Petrol,7,1050,Manual,AWD,2019,6.5
Hyundai,Model S,Diesel,82 kWh,713,207,7.0,264109,Diesel,4,158,Manual,RWD,2022,5.6
Nissan,Tiguan,Electric,82 kWh,496,214,4.2,54328,Electric,5,870,Dual Clutch,AWD,2021,12.3
Audi,Sportage,Diesel,1.5L,571,242,3.9,233348,Electric,5,1201,Automatic,RWD,2023,18.6
Geely,Civic,Hybrid,1.2L,799,317,4.9,51845,Hybrid,5,817,Manual,FWD,2021,19.9
Honda,RX 500h,Electric,1.2L,140,354,11.2,91394,Hybrid,2,401,Manual,RWD,2018,7.9
Nissan,Elantra,Petrol,82 kWh,547,178,3.6,190231,Hybrid,7,902,Automatic,RWD,2018,14.9
BMW,X5,Electric,82 kWh,526,398,9.7,95722,Electric,4,996,Manual,FWD,2022,13.2
BYD,Model S,Petrol,4.0L,258,343,9.7,107554,Electric,2,211,Single Speed,AWD,2020,11.3
Volvo,Mustang,Petrol,4.0L,360,146,10.2,64262,Petrol,5,1536,Dual Clutch,RWD,2023,14.3
Porsche,RX 500h,Diesel,4.0L,989,188,10.9,56722,Hybrid,2,416,Automatic,RWD,2024,9.3
Ferrari,Focus,Diesel,1.2L,361,165,5.0,186231,Electric,4,1268,Dual Clutch,FWD,2021,19.1
Porsche,A6,Diesel,1.5L,825,300,4.6,255740,Petrol,4,767,Single Speed,AWD,2021,15.0
Lexus,Model S,Hybrid,3.0L,446,315,6.9,102052,Electric,7,789,Single Speed,AWD,2018,15.8
Tesla,X5,Hybrid,4.0L,577,218,5.0,115808,Petrol,5,117,Single Speed,FWD,2017,7.1
Ford,A6,Diesel,1.5L,597,141,9.5,270416,Hybrid,5,1474,Automatic,FWD,2022,5.9
Renault,E-Class,Hybrid,100 kWh,628,271,8.5,277128,Hybrid,2,1278,Single Speed,RWD,2021,9.7
Peugeot,Focus,Electric,2.0L,1124,256,10.8,236281,Hybrid,5,877,Automatic,FWD,2018,16.0
Hyundai,Camry,Electric,4.0L,329,303,3.3,261052,Electric,2,459,Automatic,FWD,2018,19.0
Jaguar,E-Class,Hybrid,100 kWh,490,167,11.2,119697,Electric,4,431,Manual,FWD,2015,10.3
Toyota,Passat,Hybrid,3.0L,373,140,5.3,246572,Petrol,4,627,Automatic,AWD,2021,16.2
Chevrolet,X5,Electric,2.0L,1011,327,7.2,247842,Diesel,4,111,Single Speed,FWD,2015,11.0
